asset_id,hostname,ip_address,asset_type,operating_system,department,business_owner,technical_owner,criticality,environment,location,assigned_user,edr_coverage,logging_status,siem_onboarding_status,expected_services,expected_ports
AST-011,SOC-WKS-011,10.20.10.111,Workstation,Windows 10 Enterprise,Human Resources,Department Head,IT Support Team,Low,Production,Office Floor 3,user011,True,Enabled,Enabled,None,None
AST-012,SOC-WKS-012,10.20.10.112,Workstation,Windows 10 Enterprise,Legal,Department Head,IT Support Team,Low,Production,Office Floor 1,user012,True,Enabled,Enabled,None,None
AST-013,SOC-WKS-013,10.20.10.113,Workstation,Windows 10 Enterprise,Finance,Department Head,IT Support Team,Low,Production,Office Floor 1,user013,True,Enabled,Enabled,None,None
AST-014,SOC-WKS-014,10.20.10.114,Workstation,Windows 10 Enterprise,Engineering,Department Head,IT Support Team,Low,Production,Office Floor 1,user014,True,Enabled,Enabled,None,None
AST-015,SOC-WKS-015,10.20.10.115,Workstation,Windows 10 Enterprise,Engineering,Department Head,IT Support Team,Low,Production,Office Floor 3,user015,True,Enabled,Enabled,None,None
AST-016,SOC-WKS-016,10.20.10.116,Workstation,Windows 10 Enterprise,Sales,Department Head,IT Support Team,Low,Production,Office Floor 1,user016,True,Enabled,Enabled,None,None
AST-017,SOC-WKS-017,10.20.10.117,Workstation,Windows 10 Enterprise,Sales,Department Head,IT Support Team,Low,Production,Office Floor 2,user017,True,Enabled,Enabled,None,None
AST-018,SOC-WKS-018,10.20.10.118,Workstation,Windows 10 Enterprise,Human Resources,Department Head,IT Support Team,Low,Production,Office Floor 1,user018,True,Enabled,Enabled,None,None
AST-019,SOC-WKS-019,10.20.10.119,Workstation,Windows 10 Enterprise,Human Resources,Department Head,IT Support Team,Low,Production,Office Floor 1,user019,True,Enabled,Enabled,None,None
AST-020,SOC-WKS-020,10.20.10.120,Workstation,Windows 10 Enterprise,Finance,Department Head,IT Support Team,Low,Production,Office Floor 3,user020,True,Enabled,Enabled,None,None
AST-021,SOC-WKS-021,10.20.10.121,Workstation,Windows 10 Enterprise,Sales,Department Head,IT Support Team,Low,Production,Office Floor 1,user021,True,Enabled,Enabled,None,None
AST-022,SOC-WKS-022,10.20.10.122,Workstation,Windows 10 Enterprise,Sales,Department Head,IT Support Team,Low,Production,Office Floor 1,user022,True,Enabled,Enabled,None,None
AST-023,SOC-WKS-023,10.20.10.123,Workstation,Windows 10 Enterprise,Engineering,Department Head,IT Support Team,Low,Production,Office Floor 3,user023,True,Enabled,Enabled,None,None
AST-024,SOC-WKS-024,10.20.10.124,Workstation,Windows 10 Enterprise,Engineering,Department Head,IT Support Team,Low,Production,Office Floor 3,user024,True,Enabled,Enabled,None,None
AST-025,SOC-WKS-025,10.20.10.125,Workstation,Windows 10 Enterprise,Operations,Department Head,IT Support Team,Low,Production,Office Floor 1,user025,True,Enabled,Enabled,None,None
AST-026,SOC-WKS-026,10.20.10.126,Workstation,Windows 10 Enterprise,Operations,Department Head,IT Support Team,Low,Production,Office Floor 3,user026,True,Enabled,Enabled,None,None
AST-027,SOC-WKS-027,10.20.10.127,Workstation,Windows 10 Enterprise,Legal,Department Head,IT Support Team,Low,Production,Office Floor 1,user027,True,Enabled,Enabled,None,None
AST-028,SOC-WKS-028,10.20.10.128,Workstation,Windows 10 Enterprise,Finance,Department Head,IT Support Team,Low,Production,Office Floor 3,user028,True,Enabled,Enabled,None,None
AST-029,SOC-WKS-029,10.20.10.129,Workstation,Windows 10 Enterprise,Operations,Department Head,IT Support Team,Low,Production,Office Floor 2,user029,True,Enabled,Enabled,None,None
AST-030,SOC-WKS-030,10.20.10.130,Workstation,Windows 10 Enterprise,Legal,Department Head,IT Support Team,Low,Production,Office Floor 1,user030,True,Enabled,Enabled,None,None
AST-031,SOC-WKS-031,10.20.10.131,Workstation,Windows 10 Enterprise,Finance,Department Head,IT Support Team,Low,Production,Office Floor 2,user031,True,Enabled,Enabled,None,None
AST-032,SOC-WKS-032,10.20.10.132,Workstation,Windows 10 Enterprise,Human Resources,Department Head,IT Support Team,Low,Production,Office Floor 1,user032,True,Enabled,Enabled,None,None
AST-033,SOC-WKS-033,10.20.10.133,Workstation,Windows 10 Enterprise,Operations,Department Head,IT Support Team,Low,Production,Office Floor 1,user033,True,Enabled,Enabled,None,None
AST-034,SOC-WKS-034,10.20.10.134,Workstation,Windows 10 Enterprise,Legal,Department Head,IT Support Team,Low,Production,Office Floor 2,user034,True,Enabled,Enabled,None,None
AST-035,SOC-WKS-035,10.20.10.135,Workstation,Windows 10 Enterprise,Sales,Department Head,IT Support Team,Low,Production,Office Floor 2,user035,True,Enabled,Enabled,None,None
AST-036,SOC-WKS-036,10.20.10.136,Workstation,Windows 10 Enterprise,Human Resources,Department Head,IT Support Team,Low,Production,Office Floor 3,user036,True,Enabled,Enabled,None,None
AST-037,SOC-WKS-037,10.20.10.137,Workstation,Windows 10 Enterprise,Operations,Department Head,IT Support Team,Low,Production,Office Floor 3,user037,True,Enabled,Enabled,None,None
AST-038,SOC-WKS-038,10.20.10.138,Workstation,Windows 10 Enterprise,Human Resources,Department Head,IT Support Team,Low,Production,Office Floor 2,user038,True,Enabled,Enabled,None,None
AST-039,SOC-WKS-039,10.20.10.139,Workstation,Windows 10 Enterprise,Human Resources,Department Head,IT Support Team,Low,Production,Office Floor 3,user039,True,Enabled,Enabled,None,None
